Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price
62,1236,1.0,3.0,1,,Downtown,Excellent,No,507932
63,4526,7.0,8.0,2,1997.0,Downtown,Good,No,1773231
64,5519,7.0,11.0,2,1999.0,Downtown,Good,No,1485690
65,2043,2.0,2.0,2,1960.0,Urban,Fair,No,94490
66,3167,5.0,5.0,2,1987.0,Suburban,Good,Attached,495302
67,4501,7.0,8.0,3,2018.0,Urban,Good,No,1520859
68,2784,5.0,5.0,1,2017.0,Downtown,Good,No,893292
69,9687,12.0,12.0,3,2021.0,Downtown,Excellent,Detached,5000000
70,8422,,12.0,4,1974.0,Rural,Poor,Attached,1991570
71,2672,3.0,4.0,2,2007.0,Downtown,Excellent,Yes,1217413
72,2544,6.0,6.0,3,1986.0,Urban,Poor,No,313012
73,4081,5.0,6.0,4,2004.0,Urban,Fair,No,823146
74,5128,8.0,8.0,3,1986.0,Urban,Fair,Yes,736107
75,5133,9.0,9.0,3,1989.0,Urban,Good,Attached,997002
76,12664,12.0,12.0,4,1979.0,Rural,Excellent,Detached,3225893
77,6745,12.0,12.0,2,2002.0,Downtown,Fair,Yes,3839365
78,3188,6.0,6.0,4,1950.0,Urban,Poor,Yes,403430
79,4982,9.0,10.0,2,2011.0,Downtown,Good,,2389353
80,7165,12.0,12.0,2,,Downtown,Good,No,2303809
81,15000,12.0,12.0,4,1997.0,Urban,Excellent,Detached,5000000
82,4967,9.0,9.0,4,2007.0,Urban,Good,Attached,1546740
83,4352,6.0,7.0,4,2007.0,Urban,Good,Attached,1096256
84,15000,12.0,12.0,4,1978.0,Suburban,Good,Detached,3381515
85,2261,4.0,3.0,2,1974.0,Urban,Poor,Detached,175084
86,4218,7.0,8.0,1,2013.0,Downtown,Good,Yes,1355670
87,3538,6.0,8.0,2,1992.0,Urban,Fair,No,487187
88,6312,12.0,12.0,3,,Urban,Excellent,Detached,3832958
89,2464,3.0,4.0,2,1990.0,Urban,Fair,Attached,273424
90,5332,9.0,11.0,4,2014.0,Urban,Poor,Detached,1502187
91,7465,12.0,12.0,2,2020.0,Downtown,Excellent,Yes,2751889
92,4393,8.0,10.0,4,,Urban,Fair,Yes,907281
93,7222,12.0,12.0,4,1969.0,Urban,Good,Attached,2326928
94,9282,12.0,12.0,2,1984.0,Downtown,Excellent,Yes,3686133
95,3583,6.0,8.0,1,2012.0,Urban,Good,Yes,738218
96,4379,6.0,7.0,1,2025.0,Downtown,Good,No,1842191
97,1819,2.0,1.0,2,2008.0,Urban,Excellent,Attached,526982
98,13636,12.0,12.0,3,1998.0,Urban,Good,Attached,5000000
99,1065,4.0,1.0,1,2010.0,Downtown,Good,Yes,155246
100,13804,12.0,12.0,2,1996.0,Downtown,Excellent,Attached,5000000
101,3188,5.0,5.0,4,2003.0,Suburban,Good,Yes,966229
102,2591,5.0,5.0,3,1992.0,Urban,Good,No,481204
103,650,2.0,2.0,1,2025.0,Urban,Good,No,229434
104,1895,3.0,3.0,1,2014.0,Downtown,Good,No,380437
105,8167,12.0,12.0,3,2022.0,Urban,Good,Attached,4052752
106,766,2.0,1.0,1,1990.0,Suburban,Poor,Attached,25000
107,3705,7.0,7.0,3,2000.0,Rural,Excellent,Detached,2138812
108,5206,7.0,9.0,4,2009.0,Urban,Good,Detached,1457077
109,6817,12.0,12.0,2,1979.0,Downtown,Excellent,Yes,2024683
110,12597,12.0,12.0,2,1978.0,Downtown,Fair,No,1835303
111,2823,7.0,7.0,4,1991.0,Urban,Good,No,840730
112,2523,4.0,4.0,2,1971.0,Urban,Poor,No,262892
113,12925,,12.0,4,2002.0,Urban,Excellent,Attached,5000000
114,3264,4.0,7.0,1,2022.0,Downtown,Good,No,1168420
115,2953,6.0,4.0,2,1957.0,Urban,Fair,Yes,160424
116,10251,,12.0,3,2014.0,Urban,Fair,Attached,2357084
117,2438,5.0,4.0,1,2014.0,Downtown,Good,Attached,1078553
118,3367,5.0,7.0,3,1952.0,Downtown,Fair,Attached,484590
119,2220,3.0,2.0,1,2004.0,Urban,Good,Yes,383805
120,2476,5.0,4.0,1,1969.0,Downtown,Poor,No,180475
121,2256,3.0,5.0,1,2011.0,Downtown,Good,No,534317
122,3133,6.0,5.0,3,2014.0,Urban,Fair,No,552860
123,5470,7.0,9.0,4,1989.0,Urban,Fair,Detached,967365
124,2504,3.0,3.0,3,1976.0,Urban,Fair,Yes,216447
125,7210,12.0,12.0,4,1974.0,Urban,Fair,Attached,2535642
126,2634,5.0,4.0,4,1974.0,Urban,Poor,Yes,396747
127,2304,6.0,5.0,1,2016.0,Downtown,Good,No,403798
128,6135,12.0,12.0,4,1969.0,Suburban,Fair,Attached,1671910
129,3680,3.0,5.0,2,1995.0,Urban,Fair,Attached,411224
130,5104,9.0,9.0,7,2010.0,Downtown,Fair,No,1877439
131,1853,5.0,5.0,2,2000.0,Urban,Good,Attached,525370
132,4626,7.0,9.0,4,1994.0,Urban,Poor,Attached,967082
133,3968,7.0,8.0,2,1957.0,Downtown,Good,No,924810
134,2621,6.0,6.0,4,1986.0,Suburban,Fair,Detached,334963
135,7421,12.0,12.0,3,2012.0,Urban,Excellent,Detached,2181941
136,1743,3.0,3.0,2,2006.0,Downtown,Good,No,506524
137,5849,8.0,9.0,4,1989.0,Rural,Fair,Detached,1353327
138,1678,5.0,6.0,3,,Rural,Fair,Yes,362059
139,11940,12.0,12.0,3,1991.0,Downtown,,Yes,3996067
140,3304,6.0,7.0,3,1951.0,Downtown,Fair,No,356667
141,5008,8.0,8.0,2,1979.0,Downtown,Fair,Yes,821935
142,5215,7.0,9.0,4,1958.0,Rural,Poor,Detached,715755
143,3011,4.0,6.0,2,1961.0,Urban,Fair,Attached,376451
144,5177,10.0,11.0,4,2003.0,Rural,Fair,Detached,1002163
145,964,2.0,1.0,1,1981.0,Downtown,Poor,No,58352
146,11434,12.0,12.0,4,,Rural,Good,Detached,4239180
147,739,3.0,2.0,1,1959.0,Downtown,Fair,No,57135
148,4332,9.0,10.0,4,1994.0,Rural,,Attached,1104700
149,5976,8.0,9.0,2,2001.0,Downtown,Good,No,1316534
150,925,2.0,3.0,1,2007.0,Urban,Good,No,171514
151,2096,2.0,3.0,1,2013.0,Suburban,Excellent,Detached,320427
152,1118,3.0,2.0,1,1944.0,Suburban,Fair,Attached,32002
153,9480,12.0,12.0,4,1988.0,Rural,Excellent,Detached,3413570
154,2806,2.0,6.0,2,2002.0,Downtown,Good,Yes,572005
155,2119,5.0,4.0,2,1994.0,Urban,Good,Attached,369089
156,3936,8.0,7.0,2,2004.0,Downtown,Good,No,1556268
157,4625,9.0,7.0,4,1963.0,Urban,Poor,Yes,739671
158,4924,8.0,8.0,4,1950.0,Suburban,Poor,Detached,725063
159,4951,7.0,8.0,5,1958.0,Urban,Poor,No,1063663
160,840,4.0,3.0,2,1972.0,Downtown,Fair,Yes,108751
161,1803,3.0,4.0,2,2011.0,Downtown,Good,No,438933
162,9889,12.0,12.0,4,1993.0,Rural,Fair,Attached,3087883
163,5552,9.0,10.0,1,2008.0,Downtown,,No,1284817
164,1438,3.0,3.0,1,1963.0,Suburban,Good,Detached,95161
165,3213,6.0,6.0,1,2016.0,Downtown,Good,Attached,1795687
166,1766,1.0,3.0,1,2018.0,Downtown,Fair,Yes,282228
167,1003,3.0,3.0,1,1956.0,Urban,Poor,No,74974
168,3628,7.0,6.0,1,1964.0,Downtown,Poor,No,370842
169,3689,4.0,7.0,2,1953.0,Suburban,Good,Attached,476242
170,2153,4.0,5.0,2,2008.0,Downtown,Fair,Yes,671430
171,702,1.0,2.0,1,1974.0,Downtown,Poor,No,51210
172,15000,12.0,12.0,4,1999.0,Rural,Fair,Detached,4598209
173,5155,9.0,9.0,1,2000.0,Downtown,Good,Detached,2201929
174,1175,1.0,1.0,1,1951.0,Urban,Fair,No,28369
175,895,1.0,1.0,1,1990.0,Downtown,,No,152699
176,1839,7.0,5.0,1,2011.0,Urban,Good,Attached,939296
177,7167,12.0,12.0,4,1981.0,Urban,,,3819478
178,2893,5.0,4.0,2,2012.0,Urban,Excellent,Attached,968707
179,2481,2.0,3.0,1,2004.0,Urban,Fair,Yes,258284
180,14374,12.0,,4,1947.0,Suburban,Fair,Detached,3472841
181,7813,12.0,12.0,2,2015.0,Downtown,Good,No,5000000
182,8303,12.0,12.0,4,2008.0,Downtown,Excellent,Detached,5000000
183,1257,3.0,3.0,1,1949.0,Urban,Good,No,126021
184,8062,12.0,12.0,4,1989.0,Urban,Fair,Yes,2192874
185,1852,3.0,3.0,1,2016.0,Downtown,Excellent,No,1026432
186,3743,5.0,6.0,1,1995.0,Downtown,Poor,No,335347
187,3505,7.0,7.0,2,1991.0,Urban,Good,Attached,525870
188,2809,7.0,6.0,3,2012.0,Rural,Good,Attached,726044
189,3290,5.0,6.0,1,2010.0,Downtown,Good,No,2364872
190,8294,12.0,12.0,2,1986.0,Urban,Good,Attached,2591878
191,3054,4.0,7.0,2,1997.0,Downtown,Good,No,636187
192,4986,8.0,9.0,3,1964.0,Urban,Fair,Attached,896298
193,12818,12.0,12.0,3,2004.0,Urban,Good,Detached,4958663
194,5642,9.0,10.0,2,1984.0,Downtown,,Attached,1587217
195,2675,3.0,3.0,2,1987.0,Suburban,Poor,Attached,110839
196,2523,2.0,3.0,1,2015.0,Downtown,Good,No,520042
197,3075,7.0,7.0,1,1987.0,Downtown,Excellent,No,1585518
198,9237,12.0,12.0,1,1965.0,Downtown,,Yes,1614494
199,2189,4.0,3.0,2,2013.0,Downtown,Excellent,No,590852
200,6526,12.0,12.0,4,1980.0,Urban,,Detached,4296336
201,7187,12.0,12.0,1,2020.0,Downtown,Excellent,Attached,3019827
202,12271,,12.0,4,2024.0,Urban,Excellent,Yes,5000000
203,2156,4.0,5.0,1,1996.0,Urban,,Yes,313301
204,2233,4.0,5.0,1,1981.0,Downtown,Fair,No,309605
205,3814,9.0,8.0,1,2014.0,Downtown,Excellent,No,2388133
206,2142,4.0,2.0,3,1975.0,Rural,Good,Detached,212783
207,6854,12.0,12.0,4,,Urban,Good,Attached,3833585
208,7361,12.0,12.0,4,2002.0,Urban,Excellent,Attached,3770610
209,13797,12.0,12.0,4,1965.0,Suburban,Fair,Attached,3293368
210,6600,12.0,12.0,2,2019.0,Urban,Fair,Yes,1359881
211,14674,12.0,12.0,4,1961.0,Rural,,Detached,3524434
212,6539,12.0,12.0,2,2014.0,Downtown,Excellent,No,3296179
213,2068,2.0,4.0,2,1974.0,Downtown,Poor,No,101496
214,2039,2.0,4.0,1,1965.0,Downtown,,No,143883
215,5720,9.0,12.0,1,2002.0,Downtown,Good,No,1619746
216,8288,12.0,12.0,1,1987.0,Downtown,Fair,Attached,1122973
217,8628,12.0,12.0,4,1997.0,Rural,Good,Attached,3376719
218,4148,5.0,6.0,4,1987.0,Urban,Good,No,591671
219,4487,7.0,9.0,1,,Downtown,Excellent,No,3345819
220,6549,12.0,12.0,4,2000.0,Suburban,Fair,Attached,2454136
221,2127,4.0,3.0,2,1993.0,Downtown,Poor,No,145334
222,9486,12.0,12.0,4,1979.0,Urban,Fair,Detached,2372120
223,1041,4.0,2.0,1,1982.0,Rural,Poor,Detached,57669
224,7202,12.0,12.0,4,1997.0,Rural,Excellent,Yes,4539554
225,2964,6.0,7.0,1,1987.0,Urban,,Attached,655624
226,7037,12.0,12.0,3,2016.0,Suburban,Good,Attached,2436253
227,3511,6.0,6.0,1,2010.0,Downtown,Poor,No,416425
228,3537,6.0,6.0,3,1989.0,Suburban,Good,Yes,722667
229,4019,6.0,8.0,4,1997.0,Suburban,Fair,Attached,760544
230,3083,4.0,4.0,4,1964.0,Urban,,Attached,467221
231,1179,3.0,3.0,2,1978.0,Suburban,Fair,Attached,93796
232,2512,5.0,5.0,2,,Urban,Good,No,950609
233,13535,12.0,,4,1997.0,Urban,Fair,Attached,4085978
234,4085,6.0,7.0,3,1953.0,Urban,Poor,No,511730
235,2561,4.0,4.0,1,1986.0,Urban,Good,Attached,388071
236,3318,7.0,7.0,3,2018.0,Urban,Good,Yes,1025995
237,3359,6.0,6.0,3,1980.0,Suburban,Good,Detached,476004
238,2796,3.0,4.0,1,1972.0,Downtown,Poor,Yes,183035
239,1244,2.0,2.0,1,2019.0,Urban,Good,No,219310
240,1881,4.0,5.0,3,,Urban,Good,No,387173
241,1438,2.0,4.0,1,1965.0,Downtown,Poor,No,89023
242,9708,12.0,12.0,2,1968.0,Downtown,Good,Yes,2577112
243,3091,5.0,5.0,2,2001.0,Urban,Good,No,584709
244,4216,6.0,7.0,1,1977.0,Downtown,Poor,No,418126
245,8702,12.0,12.0,4,1997.0,Suburban,Excellent,Attached,4391899
246,12226,12.0,12.0,4,2018.0,Urban,Fair,No,2954010
247,1082,4.0,3.0,1,2010.0,Rural,Poor,Attached,169364
248,3832,6.0,8.0,2,,Rural,Excellent,Detached,1367964
249,11443,12.0,12.0,4,1964.0,Rural,Fair,Attached,2544156
250,4090,7.0,7.0,3,1990.0,Urban,Excellent,Yes,2622433
251,5070,9.0,10.0,4,2019.0,Urban,Good,Attached,2556653
252,3937,5.0,8.0,1,2003.0,Downtown,,No,499802
253,14452,12.0,12.0,4,2016.0,Suburban,Excellent,,5000000
254,10781,12.0,12.0,4,1959.0,Rural,Fair,Detached,2606274
255,4453,5.0,6.0,1,2000.0,Downtown,Good,No,704620
256,15000,12.0,12.0,4,2015.0,Rural,Excellent,Detached,3693454
257,2747,5.0,3.0,1,1968.0,Urban,Fair,No,75680
258,1383,2.0,3.0,1,1965.0,Rural,Fair,Yes,78433
259,1562,4.0,2.0,1,2015.0,Urban,Excellent,Yes,412706
260,6259,12.0,12.0,4,1970.0,Suburban,Fair,Detached,1925235
261,1902,3.0,4.0,1,1963.0,Suburban,Fair,Detached,96686
262,8922,12.0,12.0,4,1964.0,Suburban,Good,Detached,2355253
263,12299,12.0,12.0,3,2001.0,Urban,Fair,Attached,2781711
264,5494,9.0,9.0,2,1979.0,Downtown,Excellent,Yes,1896150
265,6802,12.0,12.0,1,1983.0,Downtown,Excellent,Yes,2370982
266,9644,12.0,12.0,2,1977.0,Downtown,Poor,No,1573953
267,1371,3.0,3.0,1,2015.0,Suburban,Excellent,Attached,323595
268,13638,,12.0,3,1982.0,Urban,Excellent,Detached,4049533
269,1939,6.0,6.0,2,2007.0,Urban,Excellent,Attached,936458
270,4331,7.0,8.0,1,1953.0,Downtown,Poor,No,248142
271,3270,3.0,6.0,2,2019.0,Downtown,Fair,No,528413
272,9296,12.0,12.0,4,2005.0,Urban,Fair,Attached,4005727
273,1203,2.0,3.0,1,,Downtown,Poor,Yes,167276
274,2248,3.0,5.0,3,1968.0,Urban,Fair,No,175163
275,1319,2.0,1.0,1,1967.0,Suburban,Poor,Attached,51029
276,4714,10.0,10.0,4,2011.0,Urban,Fair,No,1105465
277,3574,3.0,5.0,1,1965.0,Downtown,Fair,No,189938
278,2944,4.0,6.0,1,2008.0,Downtown,Good,No,682820
279,1502,3.0,4.0,3,1985.0,Urban,Good,No,326643
280,1473,3.0,3.0,1,2021.0,Urban,,Detached,358954
281,4916,9.0,8.0,4,1989.0,Suburban,Fair,Attached,1137555
282,5111,11.0,9.0,4,1954.0,Rural,Good,Detached,494574
283,974,1.0,2.0,1,1965.0,Downtown,Fair,No,48169
284,6592,12.0,12.0,2,1979.0,Downtown,Excellent,Attached,2475749
285,1043,4.0,3.0,1,1956.0,Urban,Good,Attached,150752
286,5217,8.0,9.0,2,1962.0,Downtown,,Attached,572035
287,3748,6.0,7.0,2,1970.0,Downtown,,No,2015679
288,2174,2.0,3.0,2,1984.0,Downtown,Poor,Yes,187678
289,6698,12.0,12.0,1,1997.0,Downtown,Good,No,3651462
290,2886,4.0,6.0,2,2012.0,Urban,Fair,Attached,269318
291,1215,1.0,2.0,1,2021.0,Downtown,Good,,319326
292,1691,2.0,1.0,3,1984.0,Suburban,Good,Detached,197337
293,1634,3.0,3.0,3,1986.0,Urban,Fair,Yes,136977
294,10021,12.0,12.0,3,1988.0,Urban,,No,1541640
295,9676,12.0,12.0,4,,Urban,Excellent,Attached,5000000
296,5827,8.0,9.0,1,2017.0,Downtown,Good,No,1275688
297,2649,5.0,6.0,2,2020.0,Downtown,Good,No,970726
298,6874,12.0,12.0,1,2000.0,Downtown,Good,Yes,1850180
299,4874,9.0,8.0,4,1957.0,Rural,Good,Attached,757432
300,3151,5.0,5.0,4,2011.0,Urban,Good,Attached,849000
301,5255,9.0,9.0,4,1986.0,Urban,Poor,Attached,667343
302,5145,8.0,8.0,2,1964.0,Downtown,Poor,Attached,954410
303,9916,,12.0,4,1989.0,Rural,,Detached,3179176
304,7479,12.0,12.0,3,1985.0,Urban,Good,Attached,2759253
305,887,1.0,1.0,1,1972.0,Downtown,Good,No,141063
306,5106,8.0,9.0,4,2015.0,Urban,Excellent,No,3280307
307,10076,12.0,12.0,4,1964.0,Urban,Poor,Attached,3253093
308,9965,12.0,12.0,2,2017.0,Downtown,Fair,No,2359270
309,1850,5.0,4.0,2,1993.0,Urban,Good,No,547697
310,1577,3.0,4.0,1,1964.0,Urban,Poor,Attached,112210
311,2970,5.0,5.0,2,2014.0,Downtown,Good,Yes,546543
312,3770,5.0,6.0,1,1990.0,Downtown,Fair,No,318854
313,1817,3.0,4.0,2,1985.0,Urban,Excellent,Yes,536464
314,3717,7.0,7.0,2,2000.0,Urban,Fair,Yes,642136
315,7382,12.0,12.0,3,1970.0,Urban,Fair,Yes,1507222
316,6853,11.0,12.0,2,1969.0,Downtown,Fair,Detached,1129383
317,4092,5.0,6.0,4,1975.0,Suburban,Good,Attached,766022
318,10185,12.0,12.0,4,,Urban,Fair,Yes,4935663
319,4859,8.0,9.0,2,1968.0,Downtown,Poor,No,795608
320,2878,5.0,7.0,1,1992.0,Downtown,Fair,No,430816
321,802,4.0,3.0,1,1956.0,Rural,Fair,Yes,170005
322,2641,5.0,4.0,3,1983.0,Urban,,Attached,319165
323,6410,10.0,12.0,2,1963.0,Downtown,Poor,Attached,932751
324,996,1.0,1.0,1,1980.0,Downtown,Good,No,110107
325,1827,3.0,3.0,1,2017.0,Urban,Fair,Yes,338022
326,684,1.0,2.0,1,1982.0,Downtown,,No,89297
327,1235,3.0,4.0,1,1957.0,Downtown,Poor,No,90751
328,2721,6.0,6.0,3,2018.0,Urban,Good,No,618707
329,7706,12.0,12.0,4,2006.0,Suburban,Excellent,Attached,4097844
330,5618,10.0,9.0,2,1950.0,Downtown,Poor,No,688034
331,8178,12.0,12.0,4,1941.0,Urban,Fair,Detached,1928576
332,2679,6.0,6.0,1,2000.0,Urban,,No,270602
333,1112,3.0,2.0,1,,Urban,Good,Yes,244892
334,3101,4.0,5.0,3,2011.0,Suburban,Poor,Attached,201008
335,2657,5.0,4.0,4,1997.0,Urban,Fair,No,523726
336,1065,2.0,3.0,1,2001.0,Downtown,Good,,296358
337,3732,7.0,7.0,2,1963.0,Urban,Fair,Detached,364751
338,9326,12.0,12.0,4,1962.0,Urban,Fair,Attached,2743125
339,8234,12.0,12.0,4,1990.0,Rural,Poor,,2315164
340,1111,3.0,3.0,1,1992.0,Downtown,Poor,Yes,76557
341,7040,12.0,12.0,4,1971.0,Urban,Poor,No,1661190
342,2438,4.0,4.0,1,2009.0,Urban,Good,Yes,434167
343,2358,4.0,3.0,1,1997.0,Downtown,Good,No,444821
344,3057,5.0,6.0,4,2006.0,Suburban,Good,Detached,832562
345,3653,6.0,6.0,2,1961.0,Urban,Poor,Yes,425913
346,5497,7.0,9.0,3,2001.0,Urban,Good,Detached,1482414
347,1611,2.0,4.0,1,1988.0,Urban,Fair,Detached,111072
348,3901,7.0,8.0,3,2025.0,Suburban,Fair,Attached,822471
349,4108,8.0,10.0,4,1998.0,Rural,Excellent,Detached,1680122
350,2770,5.0,5.0,3,2008.0,Urban,Poor,Attached,331491
351,10387,,12.0,4,2009.0,Suburban,Good,Attached,3936634
352,6726,12.0,12.0,1,1960.0,Downtown,Fair,Attached,828702
353,9710,12.0,12.0,4,1997.0,Rural,Fair,Detached,2910620
354,2713,5.0,4.0,2,1974.0,Suburban,Good,Attached,543095
355,15000,12.0,12.0,2,1964.0,Downtown,Fair,Detached,2068676
356,4121,6.0,6.0,4,2019.0,Urban,Good,No,1270746
357,2677,4.0,4.0,2,2002.0,Suburban,Fair,Detached,263753
358,2823,5.0,5.0,5,1956.0,Urban,Good,No,574693
359,2139,3.0,3.0,1,1999.0,Suburban,Good,Attached,383274
360,4887,7.0,8.0,4,1985.0,Urban,Fair,Yes,1042694
361,4700,9.0,8.0,4,1993.0,Urban,Good,Detached,1147009
362,1252,3.0,2.0,1,1973.0,Rural,Poor,No,72551
363,8783,12.0,12.0,4,1971.0,Rural,Good,Detached,2050381
364,1707,2.0,3.0,1,2025.0,Downtown,Excellent,No,547711
365,3190,4.0,6.0,1,2009.0,Downtown,Poor,Attached,391492
366,1723,2.0,3.0,1,2020.0,Urban,Excellent,No,520697
367,12041,12.0,12.0,3,2004.0,Urban,Good,Attached,5000000
368,8791,12.0,12.0,3,2025.0,Rural,Excellent,Attached,4152234
369,3511,5.0,6.0,1,1993.0,Downtown,Fair,,503983
370,10689,12.0,12.0,4,,Urban,Excellent,Attached,5000000
371,2990,6.0,6.0,2,2002.0,Rural,Fair,Yes,517286
372,11144,12.0,12.0,4,1995.0,Rural,Fair,Attached,3099487
373,3274,5.0,5.0,4,1945.0,Rural,Poor,Detached,469502
374,5494,9.0,9.0,2,1981.0,Downtown,Excellent,Attached,3454232
375,1282,3.0,3.0,1,1955.0,Downtown,Fair,Attached,109554
376,6749,12.0,12.0,4,2016.0,Urban,Fair,Attached,2272717
377,1158,5.0,4.0,1,,Suburban,Good,Yes,328176
378,2367,3.0,4.0,2,1989.0,Urban,Good,No,207405
379,2704,6.0,5.0,2,1985.0,Downtown,Fair,No,252666
380,1036,1.0,1.0,1,1996.0,Urban,Poor,No,44029
381,2465,6.0,5.0,1,2017.0,Suburban,Good,Detached,509549
382,2308,5.0,5.0,1,2025.0,Downtown,Good,Yes,930765
383,5012,8.0,8.0,3,2004.0,Urban,Fair,Detached,860044
384,7335,12.0,12.0,4,2009.0,Rural,Fair,Detached,2859726
385,1438,2.0,1.0,1,1953.0,Downtown,Fair,No,55515
386,10022,12.0,12.0,4,1982.0,Urban,Good,,4129769
387,1038,1.0,2.0,1,1991.0,Downtown,Poor,No,50933
388,1925,2.0,3.0,1,1960.0,Downtown,Poor,Attached,83989
389,1723,4.0,5.0,7,1997.0,Urban,Excellent,Attached,794687
390,1913,3.0,3.0,1,2018.0,Downtown,Good,No,526818
391,2704,6.0,6.0,4,1978.0,Rural,Fair,Detached,415298
392,1418,4.0,2.0,2,1983.0,Rural,Fair,No,61535
393,5309,9.0,8.0,4,1959.0,Urban,Fair,Detached,1059498
394,9430,,12.0,3,1971.0,Urban,Poor,Attached,3205425
395,13889,12.0,,4,1971.0,Rural,Poor,Detached,3895360
396,3493,5.0,6.0,2,2025.0,Urban,Excellent,Attached,1905232
397,3932,3.0,5.0,2,2005.0,Downtown,Good,No,956208
398,10849,,12.0,4,1963.0,Urban,Fair,Yes,3759522
399,887,2.0,3.0,1,1954.0,Urban,Good,Attached,278409
400,8567,12.0,12.0,4,1954.0,Suburban,Poor,Attached,2373575
401,15000,12.0,12.0,3,1962.0,Urban,Fair,No,3034463
402,948,2.0,2.0,1,2011.0,Rural,,No,73914
403,3378,6.0,7.0,2,1998.0,Urban,Excellent,Yes,1279312
